symbol,buy,and,or,total_return,max_drawdown,sharpe_ratio,final_value
NVDA,-5,20,45,170.65366752000003,-50.49646940349781,0.8297706697603975,270653.66752
NVDA,-5,20,50,170.65366752000003,-50.49646940349781,0.8297706697603975,270653.66752
NVDA,-5,25,35,48.55841357999999,-50.49646940349781,0.42511240753988416,148558.41358
NVDA,-5,25,40,137.51758332000003,-50.49646940349781,0.713670300995516,237517.58332000003
NVDA,-5,25,45,502.22612719999995,-50.49646940349781,1.1157515715456088,602226.1272
NVDA,-5,25,50,502.22612719999995,-50.49646940349781,1.1157515715456088,602226.1272
NVDA,-5,30,35,60.46603062000003,-50.49646940349781,0.4737267215664642,160466.03062000003
NVDA,-5,30,40,156.56349516,-50.49646940349781,0.7512001922001272,256563.49516000002
NVDA,-5,30,45,555.8182481600002,-50.49646940349781,1.1430192083938981,655818.2481600001
NVDA,-5,30,50,555.8182481600002,-50.49646940349781,1.1430192083938981,655818.2481600001
NVDA,0,15,35,213.69536463999995,-50.215871566368286,0.9491002385405218,313695.3646399999
NVDA,0,15,40,336.94741653999995,-50.215871566368286,1.090501410763463,436947.41653999995
NVDA,0,15,45,371.84232674,-50.215871566368286,1.1213508020999168,471842.32673999993
NVDA,0,15,50,371.84232674,-50.215871566368286,1.1213508020999168,471842.32673999993
NVDA,0,20,35,283.9114975,-60.33668981974974,0.9827134897164431,383911.4975
NVDA,0,20,40,744.4969141199999,-60.33668981974974,1.33779260684589,844496.91412
NVDA,0,20,45,843.1125166999998,-60.33668981974974,1.3345176680754125,943112.5166999998
NVDA,0,20,50,843.1125166999998,-60.33668981974974,1.3345176680754125,943112.5166999998
NVDA,0,25,35,305.50074870000003,-60.33668981974974,0.9696018238903573,405500.74870000005
NVDA,0,25,40,792.0271395599999,-60.33668981974974,1.3118347908862624,892027.1395599999
NVDA,0,25,45,940.4083463,-60.33668981974974,1.282008769704369,1040408.3462999999
NVDA,0,25,50,940.4083463,-60.33668981974974,1.282008769704369,1040408.3462999999
NVDA,0,30,35,338.7763325,-60.33668981974974,1.0025631144153582,438776.3325
NVDA,0,30,40,865.24582156,-60.33668981974974,1.338369356940639,965245.82156
NVDA,0,30,45,1038.07219294,-60.33668981974974,1.309232640032815,1138072.19294
NVDA,0,30,50,1038.07219294,-60.33668981974974,1.309232640032815,1138072.19294
NVDA,5,15,35,288.44534780000004,-57.33827444083845,0.964084256555765,388445.34780000005
NVDA,5,15,40,447.5555792999999,-57.33827444083845,1.101586953293214,547555.5792999999
NVDA,5,15,45,492.1640022400001,-57.33827444083845,1.1311360731203042,592164.0022400001
NVDA,5,15,50,492.1640022400001,-57.33827444083845,1.1311360731203042,592164.0022400001
NVDA,5,20,35,324.21942828000016,-60.33668981974974,0.981927840648876,424219.42828000017
NVDA,5,20,40,831.01891946,-60.33668981974974,1.3183937722499417,931018.91946
NVDA,5,20,45,911.6851310400003,-60.33668981974974,1.3158592948309569,1011685.1310400002
NVDA,5,20,50,911.6851310400003,-60.33668981974974,1.3158592948309569,1011685.1310400002
NVDA,5,25,35,291.59639708,-60.33668981974974,0.9364708729392759,391596.39708
NVDA,5,25,40,759.4200456,-60.33668981974974,1.27631050772058,859420.0456000001
NVDA,5,25,45,955.3854799000002,-60.33668981974974,1.2841714256806736,1055385.4799000002
NVDA,5,25,50,955.3854799000002,-60.33668981974974,1.2841714256806736,1055385.4799000002
NVDA,5,30,35,317.87178724000006,-60.33668981974974,0.9663842615030714,417871.78724000003
NVDA,5,30,40,817.09409392,-60.33668981974974,1.3016954223328867,917094.09392
