type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-11-13,156.44,215,33701.90283459999,-1.0457,Level 2/4: sentiment -1.0 < 0,2.0,W2020,AMZN,
BUY,2021-01-11,155.71,219,34168.72508048999,-5.6017,Level 3/4: sentiment -5.6 < -5,3.0,W2021,AMZN,
BUY,2023-01-03,85.82,260,22357.848713199994,-21.7981,Level 4/4: sentiment -21.8 < -10,4.0,W2023,AMZN,
SELL,2023-09-20,135.29,915,123542.89309035,16.1595,AND: sentiment 16.2 > 10 & price < MA50,,W2023,AMZN,-0.24443909075285353
BUY,2023-09-26,125.98,266,33577.73487068,2.3322,Level 1/4: sentiment 2.3 < 5,1.0,W2023,AMZN,
BUY,2023-09-27,125.98,266,33577.73487068,-0.0405,Level 2/4: sentiment -0.0 < 0,2.0,W2023,AMZN,
BUY,2023-10-03,124.72,269,33616.81290967999,-5.3733,Level 3/4: sentiment -5.4 < -5,3.0,W2023,AMZN,
SELL,2024-05-23,181.05,801,144731.15292105003,11.8801,AND: sentiment 11.9 > 10 & price < MA50,,W2024,AMZN,43.62198524591662
BUY,2024-07-17,187.93,237,44628.53335940999,3.8251,Level 1/4: sentiment 3.8 < 5,1.0,W2024,AMZN,
BUY,2024-07-22,182.55,244,44631.328942199994,-1.8324,Level 2/4: sentiment -1.8 < 0,2.0,W2024,AMZN,
BUY,2024-07-24,180.83,246,44573.19284418,-5.3338,Level 3/4: sentiment -5.3 < -5,3.0,W2024,AMZN,
BUY,2020-02-27,189.75,131,24906.989357249993,1.6872,Level 1/4: sentiment 1.7 < 5,1.0,W2020,META,
BUY,2020-03-06,181.09,137,24858.973469329994,-1.631,Level 2/4: sentiment -1.6 < 0,2.0,W2020,META,
BUY,2020-03-12,154.47,161,24919.434209669995,-8.4704,Level 3/4: sentiment -8.5 < -5,3.0,W2020,META,
BUY,2020-03-16,146.01,170,24871.36822169999,-10.3607,Level 4/4: sentiment -10.4 < -10,4.0,W2020,META,
SELL,2020-07-24,230.71,599,137919.03761529,26.1466,AND: sentiment 26.1 > 15 & price < MA50,,W2020,META,38.53306428542954
BUY,2020-09-18,252.53,136,34412.80250407999,4.1421,Level 1/4: sentiment 4.1 < 5,1.0,W2020,META,
BUY,2020-09-24,249.53,138,34504.04471513999,-0.3463,Level 2/4: sentiment -0.3 < 0,2.0,W2020,META,
BUY,2021-01-11,256.84,139,35772.19722075999,-5.1893,Level 3/4: sentiment -5.2 < -5,3.0,W2021,META,
BUY,2023-01-03,124.74,170,21248.232805799995,-13.8054,Level 4/4: sentiment -13.8 < -10,4.0,W2023,META,
SELL,2023-03-14,194.02,583,112887.54579366,34.1271,OR: sentiment 34.1 > 30,,W2023,META,-10.36208796753009
BUY,2023-10-26,288.35,108,31204.1147418,2.159,Level 1/4: sentiment 2.2 < 5,1.0,W2023,META,
BUY,2023-10-30,302.66,103,31236.359133979997,-1.2782,Level 2/4: sentiment -1.3 < 0,2.0,W2023,META,
SELL,2024-04-19,481.07,211,101302.85996577,16.3748,AND: sentiment 16.4 > 15 & price < MA50,,W2024,META,62.23909537794896
BUY,2024-07-15,496.16,82,40766.53092511999,4.5795,Level 1/4: sentiment 4.6 < 5,1.0,W2024,META,
BUY,2024-07-17,461.99,88,40736.470895119994,-3.1961,Level 2/4: sentiment -3.2 < 0,2.0,W2024,META,
BUY,2024-07-19,476.79,85,40608.24482714999,-5.177,Level 3/4: sentiment -5.2 < -5,3.0,W2024,META,
BUY,2024-07-24,461.27,88,40672.98411175999,-10.8712,Level 4/4: sentiment -10.9 < -10,4.0,W2024,META,
SELL,2025-09-02,735.11,343,251638.69668273002,19.1826,AND: sentiment 19.2 > 15 & price < MA50,,W2025,META,54.584197442961226
BUY,2025-09-26,743.75,84,62600.01247499998,4.8877,Level 1/4: sentiment 4.9 < 5,1.0,W2025,META,
BUY,2025-10-31,648.35,97,63015.79278994999,-1.3134,Level 2/4: sentiment -1.3 < 0,2.0,W2025,META,
BUY,2025-11-03,637.71,98,62620.63365557999,-5.8886,Level 3/4: sentiment -5.9 < -5,3.0,W2025,META,
BUY,2025-11-05,635.95,99,63085.031059049994,-12.1102,Level 4/4: sentiment -12.1 < -10,4.0,W2025,META,
