buy_threshold,and_sell_threshold,or_sell_threshold,y2021,y2022,y2023,y2024,y2025,avg_return,cumulative,positive_years
-10,10,30,0.0,-26.855750865479987,0.0,14.743591093440077,40.78389072581021,5.73434619075406,18.157579848362104,2
-10,10,40,0.0,-26.855750865479987,0.0,14.743591093440077,40.78389072581021,5.73434619075406,18.157579848362104,2
-10,5,30,0.0,-26.855750865479987,0.0,14.743591093440077,40.78389072581021,5.73434619075406,18.157579848362104,2
-10,5,35,0.0,-26.855750865479987,0.0,14.743591093440077,40.78389072581021,5.73434619075406,18.157579848362104,2
-10,5,40,0.0,-26.855750865479987,0.0,14.743591093440077,40.78389072581021,5.73434619075406,18.157579848362104,2
-10,10,35,0.0,-26.855750865479987,0.0,14.743591093440077,40.78389072581021,5.73434619075406,18.157579848362104,2
-10,15,20,0.0,-26.855750865479987,0.0,14.743591093440077,40.72728410909014,5.723024867410047,18.11007085567435,2
-10,10,20,0.0,-26.855750865479987,0.0,14.743591093440077,40.72728410909014,5.723024867410047,18.11007085567435,2
-10,5,20,0.0,-26.855750865479987,0.0,14.743591093440077,40.72728410909014,5.723024867410047,18.11007085567435,2
-5,20,30,0.0,-30.110323962029927,0.0,22.850849144500017,37.35517869031006,6.01914077455603,17.93323949177295,2
-5,20,35,0.0,-30.110323962029927,0.0,22.850849144500017,37.35517869031006,6.01914077455603,17.93323949177295,2
-5,20,40,0.0,-30.110323962029927,0.0,22.850849144500017,37.35517869031006,6.01914077455603,17.93323949177295,2
-5,20,20,0.0,-30.110323962029927,0.0,22.850849144500017,37.30016887519003,6.0081388115320244,17.88600803124261,2
-15,10,40,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,5,30,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,5,35,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,5,40,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,10,35,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,10,30,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,15,30,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,15,35,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,15,40,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,20,30,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,20,35,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,20,40,0.0,-16.68767182596007,0.0,0.0,37.58224037759983,4.178913710327953,14.622967612582443,1
-15,15,20,0.0,-16.68767182596007,0.0,0.0,37.52715072239978,4.167895779287942,14.577071138252236,1
-15,10,20,0.0,-16.68767182596007,0.0,0.0,37.52715072239978,4.167895779287942,14.577071138252236,1
-15,20,20,0.0,-16.68767182596007,0.0,0.0,37.52715072239978,4.167895779287942,14.577071138252236,1
-15,5,20,0.0,-16.68767182596007,0.0,0.0,37.52715072239978,4.167895779287942,14.577071138252236,1
